1	2
1	51
1	52
1	100
2	3
2	52
2	53
3	4
3	53
3	54
4	5
4	54
4	55
5	6
5	55
5	56
6	7
6	56
6	57
7	8
7	57
7	58
8	9
8	58
8	59
9	10
9	59
9	60
10	11
10	60
10	61
11	12
11	61
11	62
12	13
12	62
12	63
13	14
13	63
13	64
14	15
14	64
14	65
15	16
15	65
15	66
16	17
16	66
16	67
17	18
17	67
17	68
18	19
18	68
18	69
19	20
19	69
19	70
20	21
20	70
20	71
21	22
21	71
21	72
22	23
22	72
23	24
23	73
24	25
24	74
25	26
25	75
26	27
26	76
27	28
27	77
28	29
28	78
29	30
29	79
30	31
30	80
31	32
31	81
32	33
32	82
33	34
33	83
34	35
34	84
35	36
35	85
36	37
36	86
37	38
37	87
38	39
38	88
39	40
39	89
40	41
40	90
41	42
41	91
42	43
42	92
43	44
43	93
44	45
44	94
45	46
45	95
46	47
46	96
47	48
47	97
48	49
48	98
49	50
49	99
50	51
50	100
51	52
52	53
53	54
54	55
55	56
56	57
57	58
58	59
59	60
60	61
61	62
62	63
63	64
64	65
65	66
66	67
67	68
68	69
69	70
70	71
71	72
72	73
73	74
74	75
75	76
76	77
77	78
78	79
79	80
80	81
81	82
82	83
83	84
84	85
85	86
86	87
87	88
88	89
89	90
90	91
91	92
92	93
93	94
94	95
95	96
96	97
97	98
98	99
99	100
